tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
2840,50,9,0.027356,20,1.008862,0.300441,0.415522,0.055634,4,278.791,78.714,8.082,0.0,1.114833,0.0,0.277293
2840,0,8,0.024316,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2840,46,8,0.024316,42,0.955862,0.299305,0.371355,0.053347,4,340.48,379.525,4.524,0.0,0.801,0.0,0.313145
2840,71,8,0.024316,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2840,76,8,0.024316,19,0.959753,0.272003,0.426609,0.047263,4,660.315,340.316,4.829,0.0,0.843,0.0,0.302668
2860,11,9,0.026946,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2860,29,9,0.026946,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2860,37,9,0.026946,33,0.938074,0.293515,0.390531,0.04418,4,141.814,222.11,6.879,0.0,0.967833,0.777778,0.315915
2860,50,9,0.026946,20,1.008862,0.300441,0.415522,0.055634,4,278.791,78.714,8.082,0.0,1.114833,0.0,0.277293
2860,76,9,0.026946,20,0.959265,0.272778,0.421237,0.047124,4,659.941,340.647,4.782,0.0,0.841833,0.0,0.300529
2860,0,8,0.023952,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2860,71,8,0.023952,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2860,82,8,0.023952,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2880,11,9,0.027027,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2880,29,9,0.027027,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2880,50,9,0.027027,20,1.008862,0.300441,0.415522,0.055634,4,278.791,78.714,8.082,0.0,1.114833,0.0,0.277293
2880,0,8,0.024024,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2880,37,8,0.024024,33,0.941322,0.293859,0.395916,0.044025,4,140.756,221.672,6.457,0.0,0.969,0.75,0.313492
2880,71,8,0.024024,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2880,82,8,0.024024,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2880,99,8,0.024024,41,1.07199,0.290492,0.38733,0.061115,5,164.943,291.988,13.321,0.0,0.892875,0.0,0.316764
2900,11,9,0.027027,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2900,29,9,0.027027,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2900,50,9,0.027027,20,1.008862,0.300441,0.415522,0.055634,4,278.791,78.714,8.082,0.0,1.114833,0.0,0.277293
2900,0,8,0.024024,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2900,37,8,0.024024,33,0.941322,0.293859,0.395916,0.044025,4,140.756,221.672,6.457,0.0,0.969,0.75,0.313492
2900,71,8,0.024024,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2900,75,8,0.024024,25,0.963262,0.305168,0.392464,0.048106,4,740.613,221.568,6.959,0.0,0.969,0.0,0.275092
2900,82,8,0.024024,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2920,11,9,0.02719,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2920,29,9,0.02719,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2920,50,9,0.02719,20,1.008862,0.300441,0.415522,0.055634,4,278.791,78.714,8.082,0.0,1.114833,0.0,0.277293
2920,37,8,0.024169,33,0.941322,0.293859,0.395916,0.044025,4,140.756,221.672,6.457,0.0,0.969,0.75,0.313492
2920,71,8,0.024169,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2920,75,8,0.024169,25,0.963262,0.305168,0.392464,0.048106,4,740.613,221.568,6.959,0.0,0.969,0.0,0.275092
2920,82,8,0.024169,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
