tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
18660,10,16,0.027027,66,1.110399,0.393447,0.423679,0.068888
18680,2,18,0.030875,123,0.902445,0.393491,0.390952,0.050488
18680,99,18,0.030875,174,0.905423,0.532218,0.511997,0.056509
18680,57,17,0.02916,267,1.154145,0.399989,0.540997,0.041031
18680,60,17,0.02916,208,1.039571,0.452489,0.480906,0.050476
18680,10,16,0.027444,66,1.110399,0.393447,0.423679,0.068888
18680,37,16,0.027444,114,0.98164,0.292983,0.389583,0.047107
18680,72,16,0.027444,138,0.931026,0.691157,0.527304,0.080378
18680,74,16,0.027444,160,1.266331,0.43243,0.438053,0.068371
18700,2,18,0.030612,123,0.902445,0.393491,0.390952,0.050488
18700,57,18,0.030612,268,1.150856,0.400664,0.535753,0.04114
18700,99,18,0.030612,174,0.905423,0.532218,0.511997,0.056509
18700,60,17,0.028912,208,1.039571,0.452489,0.480906,0.050476
18700,10,16,0.027211,66,1.110399,0.393447,0.423679,0.068888
18700,37,16,0.027211,114,0.98164,0.292983,0.389583,0.047107
18700,72,16,0.027211,138,0.931026,0.691157,0.527304,0.080378
18700,74,16,0.027211,160,1.266331,0.43243,0.438053,0.068371
18720,2,18,0.030664,123,0.902445,0.393491,0.390952,0.050488
18720,57,18,0.030664,268,1.150856,0.400664,0.535753,0.04114
18720,99,18,0.030664,174,0.905423,0.532218,0.511997,0.056509
18720,10,17,0.028961,67,1.116734,0.397995,0.426079,0.068288
18720,37,16,0.027257,114,0.98164,0.292983,0.389583,0.047107
18720,56,16,0.027257,209,1.125809,0.56556,0.44708,0.084717
18720,60,16,0.027257,208,1.044342,0.453576,0.48505,0.049004
18720,72,16,0.027257,138,0.931026,0.691157,0.527304,0.080378
18740,2,19,0.031879,124,0.897907,0.392799,0.388124,0.050844
18740,57,18,0.030201,268,1.150856,0.400664,0.535753,0.04114
18740,99,18,0.030201,174,0.905423,0.532218,0.511997,0.056509
18740,56,17,0.028523,210,1.146758,0.574687,0.455682,0.087443
18740,60,17,0.028523,210,1.041176,0.45677,0.483851,0.049802
18740,74,17,0.028523,163,1.283916,0.422916,0.439623,0.06712
18740,10,16,0.026846,67,1.10864,0.397242,0.428709,0.068923
18740,37,16,0.026846,114,0.98164,0.292983,0.389583,0.047107
18760,2,19,0.032313,124,0.897907,0.392799,0.388124,0.050844
18760,57,18,0.030612,269,1.140083,0.398557,0.53565,0.041806
18760,56,17,0.028912,210,1.146758,0.574687,0.455682,0.087443
18760,74,17,0.028912,163,1.283916,0.422916,0.439623,0.06712
18760,99,17,0.028912,174,0.919175,0.522209,0.515868,0.057296
18760,10,16,0.027211,67,1.10864,0.397242,0.428709,0.068923
18760,37,16,0.027211,114,0.98164,0.292983,0.389583,0.047107
18760,72,15,0.02551,138,0.924892,0.695874,0.526808,0.081414
18780,2,18,0.030508,124,0.896046,0.390613,0.388902,0.050926
18780,57,18,0.030508,269,1.140083,0.398557,0.53565,0.041806
18780,10,17,0.028814,68,1.106961,0.401566,0.427468,0.068105
18780,74,17,0.028814,163,1.283916,0.422916,0.439623,0.06712
18780,99,17,0.028814,174,0.919175,0.522209,0.515868,0.057296
18780,37,16,0.027119,115,0.993993,0.292555,0.387834,0.048445
18780,60,16,0.027119,212,1.024722,0.454168,0.486196,0.051718
18780,56,15,0.025424,210,1.152661,0.587834,0.457553,0.08657
18800,2,18,0.030354,124,0.896046,0.390613,0.388902,0.050926
18800,74,18,0.030354,164,1.280642,0.420716,0.43814,0.065485
18800,99,18,0.030354,175,0.920986,0.511403,0.515663,0.058555
18800,10,17,0.028668,68,1.106961,0.401566,0.427468,0.068105
18800,57,17,0.028668,270,1.147267,0.398183,0.536411,0.040339
18800,60,16,0.026981,212,1.024722,0.454168,0.486196,0.051718
18800,37,14,0.023609,115,1.003456,0.296859,0.384863,0.046072
18800,56,14,0.023609,210,1.161847,0.595431,0.458437,0.087706
18820,2,18,0.030252,124,0.896046,0.390613,0.388902,0.050926
18820,99,18,0.030252,175,0.920986,0.511403,0.515663,0.058555
18820,57,17,0.028571,271,1.140502,0.397481,0.535235,0.040586
18820,74,17,0.028571,164,1.287917,0.422577,0.438153,0.066747
18820,10,16,0.026891,68,1.104375,0.397845,0.431029,0.068447
18820,60,16,0.026891,212,1.024722,0.454168,0.486196,0.051718
18820,56,15,0.02521,211,1.173317,0.610258,0.447591,0.087556
18820,37,14,0.023529,115,1.003456,0.296859,0.384863,0.046072
18840,57,19,0.032203,273,1.14816,0.40045,0.532247,0.040666
18840,74,18,0.030508,166,1.29267,0.415193,0.437455,0.067134
18840,2,17,0.028814,124,0.896352,0.391127,0.389957,0.050418
18840,60,17,0.028814,213,1.015575,0.456113,0.481604,0.0537
